id,title,category,subcategory,source_type,health,item_count,last_success,url,rss_url,atom_url,json_url,ics_url
leg-committee-hearings,Maine Legislature Schedule of Public Hearings and Work Sessions,Maine Legislature,Committee notices,page_monitor,ok,1,2026-09-02T21:00:13.284834+00:00,https://legislature.maine.gov/bills/phwkSched.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/leg-committee-hearings.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/leg-committee-hearings.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/leg-committee-hearings.json,https://bedardandy.github.io/maine-government-feeds/calendar/leg-committee-hearings.ics
leg-hearings-schedule,Maine Legislature Public Hearings & Work Sessions (structured schedule),Maine Legislature,Committee notices,me_leg_hearings,ok,0,2026-09-02T21:00:15.399065+00:00,https://legislature.maine.gov/bills/phwkSched.html,https://bedardandy.github.io/maine-government-feeds/feeds/rss/leg-hearings-schedule.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/leg-hearings-schedule.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/leg-hearings-schedule.json,https://bedardandy.github.io/maine-government-feeds/calendar/leg-hearings-schedule.ics
leg-lawlibrary-news,Maine Law and Legislative Reference Library — New/Popular Items,Maine Legislature,Law and Legislative Reference Library news,page_monitor,ok,1,2026-09-02T21:00:17.660642+00:00,https://legislature.maine.gov/lawlibrary,https://bedardandy.github.io/maine-government-feeds/feeds/rss/leg-lawlibrary-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/leg-lawlibrary-news.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/leg-lawlibrary-news.json,https://bedardandy.github.io/maine-government-feeds/calendar/leg-lawlibrary-news.ics
leg-session-laws,Maine Legislature — Laws of Maine (Session/Chaptered Law),Maine Legislature,Chaptered laws / public laws,page_monitor,ok,1,2026-09-02T21:00:19.927141+00:00,https://legislature.maine.gov/ros/LawsOfMaine/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/leg-session-laws.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/leg-session-laws.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/leg-session-laws.json,https://bedardandy.github.io/maine-government-feeds/calendar/leg-session-laws.ics
leg-mrs-statutes,Maine Revised Statutes — List of Titles,Maine Legislature,Rules/regulations resources,page_monitor,ok,1,2026-09-02T21:00:22.166105+00:00,https://legislature.maine.gov/statutes/,https://bedardandy.github.io/maine-government-feeds/feeds/rss/leg-mrs-statutes.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/leg-mrs-statutes.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/leg-mrs-statutes.json,https://bedardandy.github.io/maine-government-feeds/calendar/leg-mrs-statutes.ics
sos-corporations,"Maine Secretary of State — Bureau of Corporations, Elections & Commissions News",Maine Secretary of State,Bureau of Corporations,native_rss,ok,20,2026-09-02T21:00:22.362098+00:00,https://www.maine.gov/sos/about-us/news,https://bedardandy.github.io/maine-government-feeds/feeds/rss/sos-corporations.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/sos-corporations.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/sos-corporations.json,https://bedardandy.github.io/maine-government-feeds/calendar/sos-corporations.ics
sos-ucc,Maine UCC (Uniform Commercial Code) Filing Division,Maine Secretary of State,UCC,page_monitor,ok,2,2026-09-02T21:00:24.505583+00:00,https://www.maine.gov/sos/corporations-commissions/uniform-commercial-code,https://bedardandy.github.io/maine-government-feeds/feeds/rss/sos-ucc.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/sos-ucc.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/sos-ucc.json,https://bedardandy.github.io/maine-government-feeds/calendar/sos-ucc.ics
sos-elections,Maine Secretary of State — Elections Division News,Maine Secretary of State,Elections,native_rss,ok,14,2026-09-02T21:00:26.645072+00:00,https://www.maine.gov/sos/elections-voting,https://bedardandy.github.io/maine-government-feeds/feeds/rss/sos-elections.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/sos-elections.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/sos-elections.json,https://bedardandy.github.io/maine-government-feeds/calendar/sos-elections.ics
sos-rulemaking,Maine Secretary of State — Current Agency Rulemaking Notices,Maine Secretary of State,Rulemaking,html,ok,36,2026-09-02T21:00:28.942669+00:00,https://www.maine.gov/sos/rulemaking/notices/rulemaking-notices-current,https://bedardandy.github.io/maine-government-feeds/feeds/rss/sos-rulemaking.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/sos-rulemaking.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/sos-rulemaking.json,https://bedardandy.github.io/maine-government-feeds/calendar/sos-rulemaking.ics
sos-notary-apostille,Maine Notary / Apostille / Authentication Services,Maine Secretary of State,Notary / apostille / authentication,page_monitor,ok,2,2026-09-02T21:00:31.438968+00:00,https://www.maine.gov/sos/corporations-commissions/authentications-and-apostilles,https://bedardandy.github.io/maine-government-feeds/feeds/rss/sos-notary-apostille.xml,https://bedardandy.github.io/maine-government-feeds/feeds/atom/sos-notary-apostille.xml,https://bedardandy.github.io/maine-government-feeds/feeds/json/sos-notary-apostille.json,https://bedardandy.github.io/maine-government-feeds/calendar/sos-notary-apostille.ics
